player_name,nba_id,team,bpr,obpr,dbpr,box_bpr,box_obpr,box_dbpr,gp,mpg
Ryan Dunn,1642346,PHX,8.62,2.343,6.277,1.773,-0.97,2.743,74,19.36095238095238
Alex Caruso,1627936,OKC,3.413,-2.784,6.197,7.107,0.934,6.173,63,18.220535714285713
Will Richard,1642954,GSW,4.959,1.635,3.324,-1.081,-1.752,0.671,82,19.953623188405796
Sion James,1642883,CHA,-5.77,-0.252,-5.517,0.44,-0.84,1.28,82,22.47987804878049
Scotty Pippen Jr.,1630590,MEM,0.118,-0.94,1.058,-1.713,-1.947,0.234,21,21.186666666666667
Killian Hayes,1630165,SAC,-0.398,-2.15,1.752,-0.647,-2.468,1.821,24,17.631884057971014
Karlo Matković,1631255,NOP,-0.973,-0.85,-0.123,0.07,-2.035,2.105,66,14.705645161290324
Kyle Anderson,203937,MEM,0.629,1.597,-0.968,-0.86,-1.344,0.484,7,22.3125
John Konchar,1629723,UTA,-1.497,-2.277,0.78,-2.649,-2.693,0.044,29,26.157692307692308
Andersson Garcia,1643158,UTA,1.431,0.47,0.961,,,,5,33.75
Baylor Scheierman,1631248,BOS,0.188,-1.436,1.624,3.498,0.835,2.663,82,18.562987012987016
Garrison Mathews,1629726,IND,1.342,-1.167,2.509,1.919,-0.63,2.549,15,13.074444444444445
Tyson Etienne,1630623,BKN,-1.745,-0.389,-1.356,-1.342,-0.459,-0.883,37,15.834027777777777
Johnny Furphy,1642277,IND,1.583,1.679,-0.096,0.07,-0.151,0.221,35,18.373333333333335
Steven Adams,203500,HOU,5.798,2.291,3.507,4.667,0.695,3.972,37,22.823958333333334
Spencer Jones,1642461,DEN,-1.7,-5.559,3.86,0.006,-0.045,0.051,70,22.137760416666666
Nick Smith Jr.,1641733,LAL,-0.172,-0.205,0.032,0.765,0.171,0.594,37,12.495555555555557
Sidy Cissoko,1631321,POR,-1.748,-2.686,0.938,-0.686,-2.094,1.408,76,19.134444444444444
Keon Ellis,1631165,SAC,-0.2,-0.033,-0.167,-2.761,-1.948,-0.813,48,17.631782945736436
Grant Williams,1629684,CHA,3.586,1.175,2.411,4.268,1.358,2.91,50,19.7625
Dru Smith,1630696,MIA,0.658,-1.5,2.159,0.558,-1.75,2.308,79,16.304761904761907
Robert Williams III,1629057,POR,0.116,-0.892,1.008,3.717,0.313,3.404,80,17.088700564971752
Andre Drummond,203083,PHI,2.537,0.054,2.483,0.226,-0.646,0.872,81,19.535978835978835
Nikola Jović,1631107,MIA,8.66,0.705,7.955,-0.005,-2.239,2.234,70,17.191843971631208
Branden Carlson,1642382,OKC,-0.155,0.719,-0.875,0.73,1.111,-0.381,49,11.624603174603175
Cole Anthony,1630175,MIL,-3.477,-3.705,0.227,-3.07,-2.918,-0.152,48,15.046190476190477
Nae'Qwan Tomlin,1641772,CLE,6.714,1.692,5.021,2.807,0.992,1.815,77,15.68203125
Kasparas Jakučionis,1642857,MIA,1.618,-0.135,1.752,0.474,-0.317,0.791,67,17.823584905660375
Terrence Shannon Jr.,1630545,MIN,-3.562,-1.591,-1.971,-3.176,-1.068,-2.108,49,12.504651162790699
Tidjane Salaün,1642275,CHA,0.008,-0.971,0.978,0.435,-0.37,0.805,45,15.55135135135135
Justin Edwards,1642348,PHI,1.675,2.846,-1.171,-0.983,-0.566,-0.417,81,15.265885416666666
Jahmai Mashack,1642942,MEM,-4.267,-2.083,-2.184,-4.046,-2.72,-1.326,40,21.713978494623653
Devin Carter,1642269,SAC,-2.678,0.111,-2.788,-1.298,-0.243,-1.055,72,18.417543859649122
Vince Williams Jr.,1631246,UTA,2.983,-0.904,3.888,1.581,-1.049,2.63,6,13.916666666666666
Thomas Bryant,1628418,CLE,1.255,0.812,0.443,1.574,0.587,0.987,78,12.1975
Jaden Hardy,1630702,DAL,1.924,0.062,1.862,-2.793,-1.426,-1.367,50,12.590686274509805
Goga Bitadze,1629048,ORL,0.403,-0.042,0.445,2.128,0.536,1.592,79,15.187760416666666
Kyle Anderson,203937,MIN,0.629,1.597,-0.968,-0.86,-1.344,0.484,19,19.090350877192982
Oscar Tshiebwe,1631131,UTA,0.054,1.621,-1.567,-0.613,1.252,-1.865,46,16.608024691358025
Jordan Walsh,1641775,BOS,6.68,3.029,3.651,2.603,1.434,1.169,81,17.82328431372549
Adem Bona,1641737,PHI,-4.723,-3.509,-1.214,-0.135,-1.634,1.499,76,17.383098591549295
Jamaree Bouyea,1631123,PHX,3.357,-2.314,5.671,2.328,-1.878,4.206,59,14.001811594202898
Jeremiah Robinson-Earl,1630526,DAL,-2.132,-1.075,-1.057,-2.61,-0.763,-1.847,5,12.21
Vít Krejčí,1630249,POR,-6.39,-3.655,-2.735,-1.993,-2.245,0.252,31,19.17017543859649
Josh Minott,1631169,BOS,1.013,-0.849,1.861,-1.025,-1.67,0.645,45,15.929292929292929
Josh Okogie,1629006,HOU,-1.46,0.436,-1.896,2.149,-0.235,2.384,82,17.356410256410257
Dereck Lively II,1641726,DAL,0.331,-0.627,0.957,,,,7,16.46904761904762
Tyler Smith,1641890,DAL,0.285,0.94,-0.656,,,,13,13.79861111111111
Seth Curry,203552,GSW,0.762,0.56,0.201,,,,17,13.3
Gabe Vincent,1629216,LAL,0.391,1.727,-1.336,0.143,0.707,-0.564,33,19.266666666666666
Josh Oduro,1642490,NOP,-1.2,-0.863,-0.336,,,,6,27.255555555555553
Josh Green,1630182,CHA,-1.497,-4.127,2.63,3.214,0.15,3.064,60,15.654597701149424
Jalen Wilson,1630592,BKN,4.592,3.966,0.626,-1.601,-1.331,-0.27,81,15.911728395061727
Kris Murray,1631200,POR,-0.431,1.085,-1.516,1.88,-0.341,2.221,79,23.390058479532165
Dylan Cardwell,1642928,SAC,1.509,-1.869,3.379,1.214,-0.443,1.657,57,20.60227272727273
Pete Nance,1631250,MIL,-7.655,-0.714,-6.941,-0.822,0.84,-1.662,60,15.682978723404256
Jeremiah Robinson-Earl,1630526,IND,-2.132,-1.075,-1.057,-2.61,-0.763,-1.847,19,17.62156862745098
Mouhamed Gueye,1631243,ATL,-0.539,-0.535,-0.004,3.179,1.102,2.077,81,15.309523809523808
Ochai Agbaji,1630534,BKN,-1.202,-2.894,1.692,-1.094,-2.336,1.242,32,16.158333333333335
Jericho Sims,1630579,MIL,0.44,0.122,0.318,-3.422,-1.206,-2.216,81,19.669402985074626
Craig Porter Jr.,1641854,CLE,-5.032,-2.756,-2.276,3.371,1.818,1.553,72,17.932552083333334
Tre Mann,1630544,CHA,-3.814,-1.089,-2.725,-5.261,-3.648,-1.613,73,12.612578616352202
Jett Howard,1641724,ORL,-2.612,2.713,-5.324,-1.202,0.888,-2.09,75,12.642424242424243
Elijah Harkless,1641989,UTA,0.433,0.022,0.411,0.133,-0.02,0.153,45,20.954487179487177
Aaron Holiday,1628988,HOU,4.198,-0.716,4.914,2.587,-0.635,3.222,81,13.69766081871345
Tyus Jones,1626145,DAL,-1.209,-0.289,-0.92,-0.333,-0.438,0.105,8,16.6125
Ochai Agbaji,1630534,TOR,-1.202,-2.894,1.692,-1.094,-2.336,1.242,46,15.477380952380951
Anthony Gill,1630264,WAS,-2.682,-4.397,1.715,-3.825,-1.693,-2.132,82,17.290000000000003
Liam McNeeley,1642862,CHA,-0.088,-1.642,1.555,-0.6,-1.191,0.591,34,11.856451612903225
Taylor Hendricks,1641707,UTA,-6.319,-2.64,-3.679,-5.608,-2.832,-2.776,43,14.914141414141415
Mac McClung,1630644,IND,-1.961,-0.925,-1.036,,,,5,11.294444444444444
MarJon Beauchamp,1630699,PHI,-0.178,-1.741,1.563,0.155,-1.521,1.676,25,14.008333333333333
Nicolas Batum,201587,LAC,-6.167,-4.689,-1.479,-0.482,-1.101,0.619,78,17.49481981981982
Haywood Highsmith,1629312,PHX,0.339,-0.061,0.4,,,,10,12.971428571428572
Jamal Cain,1631288,ORL,-0.732,0.59,-1.322,1.839,1.91,-0.071,56,12.149583333333334
E.J. Liddell,1630604,BKN,0.348,0.221,0.127,-0.165,-0.178,0.013,39,13.430128205128204
Tyrese Proctor,1642878,CLE,-0.679,-2.286,1.606,-1.275,-1.749,0.474,72,10.902333333333333
Jabari Walker,1631133,PHI,1.78,-0.546,2.326,0.283,-0.643,0.926,75,11.90078125
Mac McClung,1630644,CHI,-1.961,-0.925,-1.036,,,,13,12.660416666666666
Carter Bryant,1642868,SAS,-1.219,-1.371,0.152,1.455,-0.983,2.438,82,11.519248826291081
Jarred Vanderbilt,1629020,LAL,-2.876,-0.534,-2.342,1.434,0.913,0.521,82,17.35025641025641
Mike Conley,201144,MIN,2.113,1.942,0.171,0.827,-0.153,0.98,70,18.358024691358025
Kevin Love,201567,UTA,0.082,1.963,-1.88,-0.826,1.583,-2.409,70,16.562612612612615
Tyler Kolek,1642278,NYK,1.402,-0.882,2.283,2.768,-0.428,3.196,79,11.728763440860215
Hugo González,1642864,BOS,9.524,2.355,7.169,4.769,1.29,3.479,82,14.647747747747749
Marcus Sasser,1631204,DET,4.585,1.006,3.579,5.712,1.321,4.391,56,12.013157894736842
Taelon Peter,1643007,IND,-4.184,-3.578,-0.606,-2.287,-3.064,0.777,50,12.953508771929824
Micah Peavy,1642877,NOP,5.584,-0.815,6.399,0.411,0.003,0.408,78,14.966939890710384
Clint Capela,203991,HOU,3.63,-0.678,4.309,4.582,-0.045,4.627,82,12.34288888888889
Lonzo Ball,1628366,CLE,-4.578,-5.148,0.57,1.384,-1.2,2.584,47,20.792380952380952
Asa Newell,1642854,ATL,-0.902,0.77,-1.672,-0.211,0.331,-0.542,67,11.361742424242426
Jaylen Clark,1641740,MIN,3.378,0.654,2.725,3.676,1.436,2.24,80,13.054901960784314
Moussa Cisse,1630619,DAL,6.378,2.261,4.117,2.78,0.308,2.472,50,13.93640350877193
Gabe Vincent,1629216,ATL,0.391,1.727,-1.336,0.143,0.707,-0.564,28,13.347916666666666
Caleb Martin,1628997,DAL,-1.198,-1.729,0.531,-2.575,-2.874,0.299,69,14.762643678160918
Amir Coffey,1629599,PHX,-0.04,-1.949,1.909,-0.696,-2.347,1.651,23,14.089583333333334
Malaki Branham,1631103,WAS,0.151,-0.205,0.356,,,,40,9.839285714285715
Yanic Konan Niederhäuser,1642949,LAC,3.669,0.109,3.56,3.192,0.456,2.736,55,10.333739837398374
Kyle Anderson,203937,UTA,0.629,1.597,-0.968,-0.86,-1.344,0.484,45,20.063333333333333
Payton Sandfort,1642362,OKC,-0.339,-0.4,0.061,,,,11,15.833333333333334
RayJ Dennis,1642484,IND,-4.561,-5.269,0.708,-4.54,-5.187,0.647,20,12.942307692307692
