pace_pad,q_bot_em,q_x_left_bot,q_x_right_bot,champ_capture_excl_uconn,uconn_excluded,avg_inside_per_season,inside_growth,depth_corr
0.25,0.96,0.25,0.9,3,True,11.047619047619047,2.095238095238095,0.17732604807323446
0.25,0.96,0.3,0.7,0,True,9.571428571428571,0.6190476190476186,0.17765262783334915
0.25,0.96,0.3,0.75,0,True,9.761904761904763,0.8095238095238102,0.17760616226003154
0.25,0.96,0.3,0.8,1,True,9.952380952380953,1.0,0.17753528862322415
0.25,0.96,0.3,0.85,2,True,10.476190476190476,1.5238095238095237,0.1773324607212123
0.25,0.96,0.3,0.9,3,True,10.761904761904763,1.8095238095238102,0.1772874953902434
0.25,0.965,0.1,0.7,0,True,9.476190476190476,0.5238095238095237,0.17887253993301658
0.25,0.965,0.1,0.75,0,True,9.666666666666666,0.7142857142857135,0.178783400698381
0.25,0.965,0.1,0.8,0,True,9.904761904761905,0.9523809523809526,0.17867260447017283
0.25,0.965,0.1,0.85,1,True,10.285714285714286,1.333333333333334,0.17854184627840045
0.25,0.965,0.1,0.9,3,True,10.619047619047619,1.666666666666666,0.178551027071292
0.25,0.965,0.15,0.7,0,True,9.333333333333334,0.3809523809523814,0.17860978722241674
0.25,0.965,0.15,0.75,0,True,9.523809523809524,0.5714285714285712,0.17851242736827438
0.25,0.965,0.15,0.8,0,True,9.761904761904763,0.8095238095238102,0.17838627567060794
0.25,0.965,0.15,0.85,1,True,10.142857142857142,1.1904761904761898,0.17823954830003585
0.25,0.965,0.15,0.9,3,True,10.476190476190476,1.5238095238095237,0.178232034583617
0.25,0.965,0.2,0.7,0,True,9.047619047619047,0.0952380952380949,0.17850844131037374
0.25,0.965,0.2,0.75,0,True,9.238095238095237,0.2857142857142847,0.17838942995229826
0.25,0.965,0.2,0.8,0,True,9.476190476190476,0.5238095238095237,0.17825844364981938
0.25,0.965,0.2,0.85,1,True,9.857142857142858,0.9047619047619051,0.17809643370524472
0.25,0.965,0.2,0.9,3,True,10.19047619047619,1.2380952380952372,0.17808468853179124
0.25,0.965,0.25,0.7,0,True,8.761904761904763,-0.1904761904761898,0.17837839467589797
0.25,0.965,0.25,0.75,0,True,8.952380952380953,0.0,0.17824271842229672
0.25,0.965,0.25,0.8,0,True,9.19047619047619,0.23809523809523725,0.1780979089045845
0.25,0.965,0.25,0.85,1,True,9.571428571428571,0.6190476190476186,0.17793798238258288
0.25,0.965,0.25,0.9,3,True,9.904761904761905,0.9523809523809526,0.17790057749049912
0.25,0.965,0.3,0.7,0,True,8.380952380952381,-0.5714285714285712,0.1783582419812582
0.25,0.965,0.3,0.75,0,True,8.571428571428571,-0.3809523809523814,0.17820520822174504
0.25,0.965,0.3,0.8,0,True,8.80952380952381,-0.14285714285714235,0.17805411385238473
0.25,0.965,0.3,0.85,1,True,9.19047619047619,0.23809523809523725,0.17788932041962896
0.25,0.965,0.3,0.9,3,True,9.523809523809524,0.5714285714285712,0.17784007902415086
0.25,0.97,0.1,0.7,0,True,8.285714285714286,-0.6666666666666661,0.1815910044948489
0.25,0.97,0.1,0.75,0,True,8.380952380952381,-0.5714285714285712,0.18147309662526281
0.25,0.97,0.1,0.8,0,True,8.714285714285714,-0.23809523809523903,0.18122735158691025
0.25,0.97,0.1,0.85,0,True,8.857142857142858,-0.0952380952380949,0.18113374509842745
0.25,0.97,0.1,0.9,2,True,9.380952380952381,0.4285714285714288,0.18117690872028144
0.25,0.97,0.15,0.7,0,True,8.0,-0.9523809523809526,0.18148199931552395
0.25,0.97,0.15,0.75,0,True,8.095238095238095,-0.8571428571428577,0.18136624788079433
