player_name,draft_year,draft_pick,draft_round,draft_age,college,position,position_group,bpm_college,stl_pct,orb_pct,blk_pct,ast_pct,ts_pct,ft_pct,three_par,usg_pct,dws,program_srs,college_season_year,vorp_yr2_5_avg,ws48_yr2_5_avg,bpm_yr2_5_avg,years_available,bbref_url,cbb_url,school_name
Jalen McDaniels,2019,52,2,21.4,San Diego State,Small Forward,F,3.3,2.1,7.3,1.8,16.2,0.525,0.758,0.165,28.7,2.2,6.12,2019.0,-0.375,0.037250000000000005,-4.15,4,/players/m/mcdanja01.html,https://www.sports-reference.com/cbb/players/jalen-mcdaniels-1.html,San Diego St.
Justin Wright-Foreman,2019,53,2,21.7,Hofstra,Point Guard,G,6.0,1.3,1.2,0.6,17.4,0.637,0.811,0.401,33.0,1.0,4.68,2019.0,0.0,0.0,0.0,0,/players/w/wrighju02.html,https://www.sports-reference.com/cbb/players/justin-wright-foreman-1.html,Hofstra
Marial Shayok,2019,54,2,23.9,Iowa State,Shooting Guard,G,5.9,2.3,2.2,1.9,12.7,0.522,0.688,0.291,21.6,3.9,,,0.0,0.0,0.0,0,/players/s/shayoma01.html,https://www.sports-reference.com/cbb/players/marial-shayok-1.html,
Kyle Guy,2019,55,2,21.9,Virginia,Shooting Guard,G,10.2,1.3,2.7,0.2,11.9,0.609,0.806,0.639,22.7,2.6,25.46,2019.0,-0.15000000000000002,0.010000000000000002,-4.6,2,/players/g/guyky01.html,https://www.sports-reference.com/cbb/players/kyle-guy-1.html,Virginia
Jaylen Hands,2019,56,2,,UCLA,,F,4.6,2.3,1.3,0.5,36.5,0.537,0.762,0.462,24.6,1.0,7.17,2019.0,0.0,0.0,0.0,0,/players/h/handsja01.html,https://www.sports-reference.com/cbb/players/jaylen-hands-1.html,UCLA
Jordan Bone,2019,57,2,21.6,Tennessee,Point Guard,G,6.0,1.2,1.9,0.4,30.3,0.562,0.817,0.353,21.3,1.3,21.55,2019.0,-0.1,0.045,-4.2,1,/players/b/bonejo01.html,https://www.sports-reference.com/cbb/players/jordan-bone-1.html,Tennessee
Miye Oni,2019,58,2,21.9,Yale,Shooting Guard,G,4.2,1.6,2.6,4.3,20.9,0.561,0.777,0.398,28.4,1.6,5.52,2019.0,-0.05,0.0245,-4.8,2,/players/o/onimi01.html,https://www.sports-reference.com/cbb/players/miye-oni-1.html,Yale
Dewan Hernandez,2019,59,2,22.5,Miami (FL),Center,BIG,4.5,1.1,9.3,4.1,3.4,0.6,0.675,0.012,21.7,1.5,9.39,2018.0,0.0,0.0,0.0,0,/players/h/hernade01.html,https://www.sports-reference.com/cbb/players/dewan-huell-1.html,Miami (FL)
Anthony Edwards,2020,1,1,18.9,Georgia,Shooting Guard,G,5.5,2.3,2.5,1.7,17.9,0.52,0.772,0.485,30.4,1.1,8.28,2020.0,3.1,0.10450000000000001,2.4499999999999997,4,/players/e/edwaran01.html,https://www.sports-reference.com/cbb/players/anthony-edwards-2.html,Georgia
James Wiseman,2020,2,1,19.2,Memphis,Center,BIG,18.0,0.8,21.8,13.6,4.4,0.76,0.704,0.038,29.1,0.2,12.16,2020.0,-0.2333333333333333,0.13599999999999998,-1.8,3,/players/w/wisemja01.html,https://www.sports-reference.com/cbb/players/james-wiseman-1.html,Memphis
Patrick Williams,2020,4,1,18.8,Florida State,Power Forward,BIG,5.5,2.5,6.9,5.6,8.4,0.553,0.838,0.242,22.2,1.3,14.94,2020.0,-0.09999999999999998,0.05775,-2.2,4,/players/w/willipa01.html,https://www.sports-reference.com/cbb/players/patrick-williams-2.html,Florida St.
Isaac Okoro,2020,5,1,19.4,Auburn,Shooting Guard,G,6.3,1.7,6.4,3.1,13.1,0.587,0.672,0.288,19.6,1.1,15.04,2020.0,0.4,0.1115,-0.9,4,/players/o/okorois01.html,https://www.sports-reference.com/cbb/players/isaac-okoro-1.html,Auburn
Onyeka Okongwu,2020,6,1,19.5,USC,Center,BIG,11.6,2.3,12.4,9.8,8.4,0.645,0.72,0.014,23.6,2.1,11.51,2020.0,1.05,0.177,0.625,4,/players/o/okongon01.html,https://www.sports-reference.com/cbb/players/onyeka-okongwu-1.html,USC
Obi Toppin,2020,8,1,22.3,Dayton,Power Forward,BIG,12.3,1.8,5.2,4.1,14.5,0.684,0.706,0.212,28.1,2.3,19.17,2020.0,1.125,0.12875,1.175,4,/players/t/toppiob01.html,https://www.sports-reference.com/cbb/players/obadiah-toppin-1.html,Dayton
Jalen Smith,2020,10,1,20.3,Maryland,Center,BIG,12.0,1.3,11.5,8.2,6.0,0.626,0.709,0.279,22.8,2.4,17.82,2020.0,0.5499999999999999,0.13949999999999999,0.17499999999999996,4,/players/s/smithja04.html,https://www.sports-reference.com/cbb/players/jalen-smith-1.html,Maryland
