player_name,nba_id,team,bpr,obpr,dbpr,box_bpr,box_obpr,box_dbpr,gp,mpg
Asa Newell,1642854,ATL,-0.539,0.533,-1.072,-0.211,0.331,-0.542,67,11.361742424242426
Lonzo Ball,1628366,CLE,-1.542,-3.11,1.569,0.842,-1.371,2.213,47,20.792380952380952
Jaylen Clark,1641740,MIN,3.86,1.007,2.853,3.994,1.067,2.927,80,13.054901960784314
Moussa Cisse,1630619,DAL,4.687,1.396,3.29,2.586,0.004,2.582,50,13.93640350877193
Micah Peavy,1642877,NOP,3.357,-0.542,3.899,0.349,-0.409,0.758,78,14.966939890710384
Taelon Peter,1643007,IND,-3.818,-3.453,-0.365,-2.502,-3.129,0.627,50,12.953508771929824
Clint Capela,203991,HOU,3.275,-1.08,4.355,4.763,0.157,4.606,82,12.34288888888889
Caleb Martin,1628997,DAL,-2.155,-2.337,0.182,-2.301,-2.649,0.348,69,14.762643678160918
Amir Coffey,1629599,PHX,1.532,-1.235,2.767,0.791,-1.512,2.303,23,14.089583333333334
Gabe Vincent,1629216,ATL,1.214,2.195,-0.982,1.676,1.941,-0.265,28,13.347916666666666
Kyle Anderson,203937,UTA,1.473,1.433,0.04,0.512,-1.415,1.927,45,20.063333333333333
Malaki Branham,1631103,WAS,0.071,-0.115,0.186,,,,40,9.839285714285715
