
============================================================
BACKFILLING HISTORICAL AP POLLS
============================================================

  # 2 Baylor (matched from 'Baylor')
  # 3 Kansas (matched from 'Kansas')
  # 4 Villanova (matched from 'Villanova')
  # 5 Houston (matched from 'Houston')
  # 6 Wisconsin (matched from 'Wisconsin')
  # 7 Tennessee (matched from 'Tennessee')
  # 8 Texas (matched from 'Texas')
  # 9 West Virginia (matched from 'West Virginia')
  #10 Iowa (matched from 'Iowa')
  #11 Creighton (matched from 'Creighton')
  #12 Missouri (matched from 'Missouri')
  #13 Texas Tech (matched from 'Texas Tech')
  #14 Rutgers (matched from 'Rutgers')
  #15 Illinois (matched from 'Illinois')
  #16 Michigan (matched from 'Michigan')
  #17 Michigan St. (matched from 'Michigan St.')
  #18 Florida St. (matched from 'Florida St.')
  #19 Northwestern (matched from 'Northwestern')
  #20 Duke (matched from 'Duke')
  #21 Minnesota (matched from 'Minnesota')
  #21 Oregon (matched from 'Oregon')
  #23 Virginia (matched from 'Virginia')
  #24 Virginia Tech (matched from 'Virginia Tech')
  #25 Ohio St. (matched from 'Ohio St.')
✓ Updated 25 teams for 2021

Fetching 2022 AP Polls: https://www.sports-reference.com/cbb/seasons/2022-polls.html
  # 1 Baylor (matched from 'Baylor')
  # 2 Duke (matched from 'Duke')
  # 3 Purdue (matched from 'Purdue')
  # 4 UCLA (matched from 'UCLA')
  # 5 Gonzaga (matched from 'Gonzaga')
  # 6 Alabama (matched from 'Alabama')
  # 7 Kansas (matched from 'Kansas')
  # 8 Arizona (matched from 'Arizona')
  # 9 Villanova (matched from 'Villanova')
  #10 USC (matched from 'Southern California')
  #11 Iowa St. (matched from 'Iowa St.')
  #12 Michigan St. (matched from 'Michigan St.')
  #13 Auburn (matched from 'Auburn')
  #14 Houston (matched from 'Houston')
  #15 Ohio St. (matched from 'Ohio St.')
  #16 Seton Hall (matched from 'Seton Hall')
  #17 Texas (matched from 'Texas')
  #18 Tennessee (matched from 'Tennessee')
  #19 LSU (matched from 'LSU')
  #20 Connecticut (matched from 'UConn')
  #21 Kentucky (matched from 'Kentucky')
  #22 Xavier (matched from 'Xavier')
  #23 Colorado St. (matched from 'Colorado St.')
  #24 Arkansas (matched from 'Arkansas')
  #25 Texas Tech (matched from 'Texas Tech')
✓ Updated 25 teams for 2022

Fetching 2023 AP Polls: https://www.sports-reference.com/cbb/seasons/2023-polls.html
  # 1 Purdue (matched from 'Purdue')
  # 2 Virginia (matched from 'Virginia')
  # 3 Connecticut (matched from 'UConn')
  # 4 Alabama (matched from 'Alabama')
  # 5 Houston (matched from 'Houston')
  # 6 Tennessee (matched from 'Tennessee')
  # 7 Texas (matched from 'Texas')
  # 8 Kansas (matched from 'Kansas')
  # 9 Arizona (matched from 'Arizona')
  #10 Arkansas (matched from 'Arkansas')
  #11 Baylor (matched from 'Baylor')
  #12 Duke (matched from 'Duke')
  #13 Kentucky (matched from 'Kentucky')
  #14 Indiana (matched from 'Indiana')
  #15 Gonzaga (matched from 'Gonzaga')
  #16 UCLA (matched from 'UCLA')
  #17 Mississippi St. (matched from 'Mississippi St.')
  #18 Illinois (matched from 'Illinois')
  #19 Auburn (matched from 'Auburn')
  #20 Maryland (matched from 'Maryland')
  #21 TCU (matched from 'TCU')
  #22 Wisconsin (matched from 'Wisconsin')
  #23 Ohio St. (matched from 'Ohio St.')
  #24 Virginia Tech (matched from 'Virginia Tech')
  #25 Miami (FL) (matched from 'Miami (FL)')
✓ Updated 25 teams for 2023

Fetching 2024 AP Polls: https://www.sports-reference.com/cbb/seasons/2024-polls.html
  # 1 Arizona (matched from 'Arizona')
  # 2 Kansas (matched from 'Kansas')
  # 3 Purdue (matched from 'Purdue')
  # 4 Houston (matched from 'Houston')
  # 5 Connecticut (matched from 'UConn')
  # 6 Baylor (matched from 'Baylor')
  # 7 Marquette (matched from 'Marquette')
  # 8 Creighton (matched from 'Creighton')
