player_name,team,season,games_played,minutes,PER,USG_pct,WS,WS48,BPM,OBPM,DBPM,VORP
Kendrick Nunn,2TM,2023,70.0,964.0,11.1,23.7,0.2,0.008,-3.5,-2.0,-1.5,-0.4
Karl-Anthony Towns,MIN,2023,29.0,957.0,18.8,25.6,2.7,0.133,3.0,2.1,0.9,1.2
Zion Williamson,NOP,2023,29.0,956.0,25.2,30.4,3.6,0.18,5.8,4.8,1.0,1.9
Kevin Knox,2TM,2023,63.0,952.0,11.1,18.4,0.7,0.034,-3.5,-2.1,-1.4,-0.4
Cam Thomas,BRK,2023,57.0,948.0,14.7,27.8,1.0,0.049,-2.7,-0.7,-2.0,-0.2
Mike Muscala,2TM,2023,63.0,945.0,13.0,15.1,2.5,0.128,-0.4,-0.3,-0.1,0.4
Maxi Kleber,DAL,2023,37.0,930.0,8.7,10.3,1.3,0.067,-2.2,-2.2,0.0,0.0
Yuta Watanabe,BRK,2023,58.0,928.0,12.1,13.1,2.1,0.111,-0.6,-0.4,-0.2,0.3
Ish Wainright,PHO,2023,60.0,915.0,9.2,12.2,1.7,0.089,-1.2,-2.7,1.5,0.2
Daishen Nix,HOU,2023,57.0,914.0,5.3,15.4,-1.2,-0.062,-6.5,-5.0,-1.5,-1.0
Jaylin Williams,OKC,2023,49.0,914.0,11.2,13.5,1.9,0.099,-1.7,-2.3,0.6,0.1
Chris Duarte,IND,2023,46.0,897.0,8.6,19.0,0.0,-0.003,-4.5,-2.9,-1.6,-0.6
Derrick Jones Jr.,CHI,2023,64.0,893.0,13.8,14.5,2.4,0.131,-0.4,-1.2,0.8,0.3
Dean Wade,CLE,2023,44.0,891.0,8.5,10.2,1.8,0.097,-0.7,-2.9,2.1,0.3
Vlatko Čančar,DEN,2023,60.0,889.0,11.0,13.8,1.7,0.093,-1.8,-1.7,-0.1,0.0
Nickeil Alexander-Walker,2TM,2023,59.0,884.0,11.6,17.9,1.1,0.062,-0.9,-1.4,0.4,0.2
Bismack Biyombo,PHO,2023,61.0,874.0,14.4,14.0,1.9,0.102,-0.9,-3.4,2.5,0.2
Goran Dragić,2TM,2023,58.0,870.0,10.3,21.1,0.4,0.025,-3.9,-2.1,-1.8,-0.4
