player_name,player_id,team_id,minutes,usg_pct,box_bpr_old,box_bpr_new,box_obpr_new,box_dbpr_new,BPM,divergence_old,divergence_new
Kel'el Ware,209,13,1748.0887445887445,0.174,0.156,-0.229,-0.617,0.388,2.1,-1.944,-2.329
Jock Landale,108,11,446.01666666666665,0.177,-0.893,-1.267,0.019,-1.286,0.1,-0.993,-1.367
Ousmane Dieng,37,18,459.2,0.192,-3.776,-2.854,-0.986,-1.868,-4.6,0.824,1.746
Bub Carrington,348,15,2270.6833333333334,0.174,-5.222,-5.428,-2.617,-2.811,-4.7,-0.522,-0.728
Bilal Coulibaly,455,15,1624.8428571428572,0.193,-3.004,-3.166,-1.512,-1.654,-2.1,-0.904,-1.066
Kevin Huerter,137,8,52.9375,0.184,0.995,-0.16,-0.279,0.119,0.3,0.695,-0.46
Isaiah Joe,454,18,53.516666666666666,0.178,7.195,6.556,2.182,4.374,2.5,4.695,4.056
Leonard Miller,303,17,259.7263157894737,0.176,0.177,0.209,0.087,0.122,-0.6,0.777,0.809
Tre Johnson,350,15,1683.3444444444442,0.22,-2.695,-2.591,-1.141,-1.45,-5.0,2.305,2.409
Rudy Gobert,291,17,266.1,0.127,4.675,4.76,1.388,3.372,1.0,3.675,3.76
AJ Green,332,10,2269.9333333333334,0.135,0.221,0.395,0.834,-0.439,,,
Moses Moody,429,21,1796.588888888889,0.174,4.381,3.982,1.238,2.744,-0.1,4.481,4.082
Jared McCain,465,18,36.96666666666667,0.198,2.001,1.644,-0.261,1.905,-0.9,2.901,2.544
Pelle Larsson,212,13,2034.065,0.165,0.989,0.862,-0.063,0.925,-1.2,2.189,2.062
Jakob Poeltl,319,5,134.38333333333335,0.15,2.026,2.178,1.192,0.986,1.6,0.426,0.578
Caleb Love,443,19,1033.2823129251701,0.228,-1.306,-1.286,-1.42,0.134,-3.1,1.794,1.814
Derrick Jones Jr.,175,22,1349.5166666666669,0.144,3.786,5.008,2.928,2.08,-0.7,4.486,5.708
Ausar Thompson,145,8,262.06666666666666,0.168,5.78,7.109,2.73,4.379,3.1,2.68,4.009
Harrison Barnes,374,30,81.98333333333332,0.144,4.702,4.889,2.387,2.502,-0.1,4.802,4.989
Egor Dëmin,236,2,1358.5500000000002,0.182,-0.314,-0.935,-0.808,-0.127,,,
Cam Spencer,115,28,1928.7375,0.166,1.342,-0.049,-0.047,-0.002,2.2,-0.858,-2.249
Precious Achiuwa,471,25,1793.0136986301368,0.172,0.247,0.525,0.905,-0.38,-1.6,1.847,2.125
Neemias Queta,55,1,152.05,0.145,5.833,6.09,2.086,4.004,2.8,3.033,3.29
Royce O'Neale,251,24,97.41666666666667,0.139,-1.595,-1.972,-1.937,-0.035,0.7,-2.295,-2.672
Marvin Bagley III,349,15,826.8447368421052,0.18,-1.419,-1.531,0.48,-2.011,1.0,-2.419,-2.531
Jalen Smith,140,6,1157.4037735849058,0.183,2.333,3.598,2.455,1.143,-0.7,3.033,4.298
Jaden Hardy,370,26,629.5343137254903,0.239,-2.809,-2.141,-1.003,-1.138,-5.7,2.891,3.559
Tristan da Silva,199,14,107.31666666666666,0.16,3.309,3.192,0.808,2.384,-0.6,3.909,3.792
Will Riley,354,15,1764.864864864865,0.196,-4.303,-4.347,-1.924,-2.423,-4.5,0.197,0.153
Rob Dillingham,300,17,474.8828571428571,0.218,-2.451,-2.855,-2.951,0.096,-6.8,4.349,3.945
Tari Eason,43,27,1678.2458333333334,0.181,2.893,2.878,0.366,2.512,-1.6,4.493,4.478
Khris Middleton,344,15,948.5794117647058,0.198,-3.774,-3.398,-1.194,-2.204,-4.9,1.126,1.502
Jordan Miller,479,22,1368.9427777777778,0.177,1.488,2.641,1.686,0.955,0.2,1.288,2.441
Obi Toppin,407,9,511.9909722222223,0.241,-0.702,0.222,1.084,-0.862,3.0,-3.702,-2.778
Taylor Hendricks,167,20,641.3080808080808,0.157,-4.663,-5.385,-2.332,-3.053,-1.5,-3.163,-3.885
Jay Huff,410,9,1719.2333333333331,0.178,0.37,-0.164,-0.978,0.814,0.4,-0.03,-0.564
