player_name,team,minutes,USG_pct,bpr,z_bpr,z_consensus,divergence,abs_div,BPM,LEBRON,WS48,PER
De'Andre Hunter,2TM,1176.0,22.9,-4.078,-1.356,-0.624,-0.732,0.732,-3.9,-0.754,0.044,11.4
Ariel Hukporti,NYK,498.0,10.9,-2.51,-0.896,-0.166,-0.73,0.73,-2.3,,0.115,11.9
T.J. McConnell,IND,963.0,23.2,1.243,0.205,0.926,-0.721,0.721,2.5,0.168,0.132,20.5
Jonas Valančiūnas,DEN,871.0,26.1,1.069,0.154,0.868,-0.714,0.714,0.0,-0.288,0.162,22.0
Khris Middleton,DAL,612.0,21.9,-5.333,-1.724,-1.01,-0.714,0.714,-4.9,-1.359,0.008,10.2
Ayo Dosunmu,MIN,694.0,19.0,-0.624,-0.343,0.366,-0.709,0.709,1.5,-1.198,0.132,15.6
Marvin Bagley III,WAS,731.0,19.0,0.709,0.048,0.755,-0.707,0.707,0.7,-0.231,0.14,20.5
Neemias Queta,BOS,1926.0,14.7,4.327,1.11,1.814,-0.704,0.704,2.8,3.696,0.224,20.3
Walter Clayton,MEM,599.0,20.1,-6.382,-2.032,-1.329,-0.703,0.703,-5.8,-2.68,-0.005,10.1
Isaiah Collier,UTA,1517.0,20.4,-3.477,-1.18,-0.477,-0.703,0.703,-2.4,-2.264,0.053,14.8
Ayo Dosunmu,2TM,1881.0,20.2,-0.624,-0.343,0.344,-0.687,0.687,1.0,-1.198,0.124,16.5
Ayo Dosunmu,CHI,1187.0,20.8,-0.624,-0.343,0.341,-0.683,0.683,0.8,-1.198,0.12,17.0
Sharife Cooper,WAS,700.0,20.0,-4.252,-1.407,-0.733,-0.674,0.674,-3.9,-2.442,0.041,13.8
Jett Howard,ORL,695.0,17.2,-3.018,-1.045,-0.406,-0.639,0.639,-1.8,-1.609,0.087,11.2
Luka Garza,BOS,1118.0,17.7,2.965,0.71,1.338,-0.628,0.628,2.4,0.646,0.226,19.9
Keyonte George,UTA,1786.0,27.9,-0.271,-0.239,0.382,-0.621,0.621,0.9,-0.645,0.088,18.5
Julius Randle,MIN,2610.0,26.5,0.978,0.127,0.746,-0.619,0.619,1.5,0.257,0.135,18.4
Jeremiah Fears,NOP,2112.0,25.5,-3.6,-1.216,-0.605,-0.611,0.611,-2.7,-1.468,0.015,13.8
Royce O'Neale,PHO,2213.0,14.3,-2.192,-0.803,-0.196,-0.607,0.607,0.7,-2.125,0.1,11.6
Moritz Wagner,ORL,427.0,24.3,-1.342,-0.553,0.052,-0.605,0.605,-2.2,-0.321,0.104,15.3
Anthony Edwards,MIN,2137.0,31.5,3.238,0.79,1.385,-0.595,0.595,4.5,1.285,0.147,21.8
Paolo Banchero,ORL,2502.0,27.6,0.628,0.024,0.613,-0.588,0.588,1.4,0.875,0.095,17.6
Blake Hinson,UTA,285.0,18.3,-0.76,-0.383,0.197,-0.58,0.58,-0.6,-0.959,0.112,16.5
Miles Bridges,CHO,2387.0,22.3,0.736,0.056,0.635,-0.578,0.578,1.1,0.843,0.13,16.0
Chet Holmgren,OKC,1997.0,21.9,6.065,1.619,2.182,-0.562,0.562,4.2,5.103,0.219,21.6
Drew Eubanks,SAC,552.0,16.3,-3.115,-1.074,-0.514,-0.56,0.56,-3.7,-1.264,0.053,13.6
Victor Wembanyama,SAS,1866.0,32.4,11.325,3.162,3.714,-0.552,0.552,10.7,7.647,0.257,29.9
Evan Mobley,CLE,2074.0,22.6,3.529,0.875,1.419,-0.544,0.544,3.0,3.067,0.15,20.0
Saddiq Bey,NOP,2246.0,21.6,0.212,-0.098,0.445,-0.543,0.543,0.5,-0.202,0.116,17.1
Kevin Love,UTA,613.0,16.6,-0.703,-0.366,0.173,-0.539,0.539,0.2,-0.142,0.088,14.7
Jaylen Brown,BOS,2443.0,36.2,3.085,0.745,1.281,-0.536,0.536,3.3,1.515,0.135,22.0
Jerami Grant,POR,1695.0,23.8,-0.308,-0.25,0.276,-0.526,0.526,0.0,-0.346,0.114,15.4
Devin Booker,PHO,2146.0,32.2,3.125,0.757,1.275,-0.518,0.518,2.2,2.489,0.145,20.4
Jamal Cain,ORL,486.0,16.6,-1.298,-0.541,-0.023,-0.517,0.517,-1.4,-0.72,0.116,13.0
Terrence Shannon Jr.,MIN,538.0,17.7,-3.333,-1.137,-0.629,-0.508,0.508,-3.6,-2.196,0.09,11.1
Leonard Miller,CHI,624.0,18.3,-0.512,-0.31,0.196,-0.506,0.506,-0.6,-0.993,0.113,16.5
Bennedict Mathurin,IND,891.0,23.2,-2.494,-0.891,-0.387,-0.504,0.504,-2.8,-0.031,0.038,12.6
Brandin Podziemski,GSW,2333.0,20.1,-0.127,-0.197,0.306,-0.503,0.503,0.2,0.183,0.105,15.0
DaRon Holmes,DEN,210.0,16.4,-0.865,-0.414,0.082,-0.496,0.496,-0.5,,0.103,13.4
Kevin Porter Jr.,MIL,1261.0,24.3,1.703,0.34,0.833,-0.493,0.493,2.1,1.251,0.106,18.7
Coby White,2TM,1249.0,28.8,-0.858,-0.411,0.079,-0.491,0.491,-1.3,-0.163,0.076,16.1
Zach Edey,MEM,284.0,20.2,1.894,0.396,0.886,-0.49,0.49,0.5,0.912,0.134,20.7
Cam Whitmore,WAS,354.0,23.7,-3.887,-1.3,-0.817,-0.483,0.483,-3.3,-2.081,-0.002,13.7
Adem Bona,PHI,1234.0,11.1,-1.79,-0.685,-0.202,-0.483,0.483,-2.9,-0.914,0.112,12.8
Lonzo Ball,CLE,728.0,13.7,-2.689,-0.949,-0.466,-0.482,0.482,-1.1,-0.418,0.042,9.5
Ron Harper Jr.,BOS,318.0,16.4,-0.277,-0.241,0.241,-0.482,0.482,1.1,-0.434,0.119,13.1
Buddy Hield,2TM,819.0,20.3,-2.107,-0.778,-0.319,-0.459,0.459,-1.0,-1.33,0.06,12.8
Buddy Hield,GSW,768.0,19.7,-2.107,-0.778,-0.326,-0.451,0.451,-1.0,-1.33,0.061,12.6
PJ Hall,2TM,214.0,17.3,-0.956,-0.44,-0.003,-0.437,0.437,-2.3,-1.52,0.125,15.9
Donovan Mitchell,CLE,2342.0,32.2,5.517,1.459,1.89,-0.431,0.431,5.1,3.426,0.169,22.9
Mohamed Diawara,NYK,634.0,17.1,-2.495,-0.892,-0.462,-0.43,0.43,-1.7,,0.072,10.3
Ousmane Dieng,2TM,1099.0,19.7,-4.111,-1.366,-0.94,-0.426,0.426,-3.8,-1.62,0.012,10.2
Cooper Flagg,DAL,2344.0,26.9,0.562,0.005,0.415,-0.41,0.41,1.4,-0.155,0.078,17.9
Jaren Jackson Jr.,2TM,1454.0,26.2,-0.674,-0.357,0.044,-0.401,0.401,-0.6,0.197,0.047,15.7
Jarred Vanderbilt,LAL,1128.0,12.4,-1.9,-0.717,-0.32,-0.397,0.397,-1.5,-0.941,0.079,11.2
Dalen Terry,CHI,377.0,14.4,-1.949,-0.731,-0.337,-0.394,0.394,-1.3,-0.726,0.058,11.6
Rudy Gobert,MIN,2380.0,12.9,2.755,0.648,1.041,-0.393,0.393,1.0,1.822,0.176,17.5
Pat Connaughton,CHO,297.0,14.9,-0.224,-0.225,0.164,-0.389,0.389,0.1,,0.113,12.9
Asa Newell,ATL,500.0,17.1,-0.921,-0.43,-0.042,-0.388,0.388,-1.5,-1.204,0.113,14.2
Tyler Herro,MIA,1033.0,24.7,0.985,0.129,0.514,-0.385,0.385,2.0,-0.468,0.112,17.1
Dalen Terry,2TM,551.0,14.8,-1.949,-0.731,-0.349,-0.382,0.382,-1.7,-0.726,0.063,11.6
Leonard Miller,2TM,719.0,18.7,-0.512,-0.31,0.071,-0.381,0.381,-1.3,-0.993,0.105,15.9
Jay Huff,IND,1719.0,18.0,-0.108,-0.191,0.188,-0.379,0.379,0.4,-0.393,0.089,15.2
Darius Garland,LAC,552.0,29.8,1.728,0.347,0.721,-0.374,0.374,1.8,0.399,0.104,19.4
Anthony Gill,WAS,951.0,11.9,-2.815,-0.986,-0.62,-0.366,0.366,-2.6,-3.584,0.087,13.4
Jaren Jackson Jr.,MEM,1382.0,25.6,-0.674,-0.357,0.006,-0.363,0.363,-0.8,0.197,0.046,15.4
Tyrese Maxey,PHI,2661.0,29.4,5.224,1.373,1.733,-0.36,0.36,5.4,2.933,0.156,21.9
Kelly Olynyk,SAS,360.0,16.0,0.297,-0.073,0.282,-0.355,0.355,-0.1,,0.13,13.5
Thomas Bryant,CLE,732.0,18.6,1.56,0.298,0.648,-0.35,0.35,0.1,0.349,0.153,17.2
Jonathan Mogbo,TOR,249.0,11.1,-0.276,-0.241,0.107,-0.348,0.348,-0.7,,0.12,12.8
Aaron Wiggins,OKC,1414.0,19.9,-1.217,-0.517,-0.186,-0.33,0.33,-0.9,-0.34,0.072,11.7
Noah Penda,ORL,757.0,14.8,-1.63,-0.638,-0.324,-0.313,0.313,-1.5,-0.747,0.07,11.3
Max Strus,CLE,288.0,17.4,-0.428,-0.285,0.025,-0.31,0.31,-1.2,-0.409,0.116,12.8
Dillon Brooks,PHO,1702.0,28.6,-1.15,-0.497,-0.188,-0.309,0.309,-2.3,-0.116,0.058,14.1
Max Christie,DAL,2244.0,16.5,-2.495,-0.892,-0.584,-0.308,0.308,-1.5,-2.115,0.058,11.0
Nick Richards,CHI,447.0,18.3,-3.503,-1.187,-0.882,-0.306,0.306,-5.8,-1.693,0.04,12.2
John Konchar,MEM,435.0,8.7,0.657,0.033,0.334,-0.301,0.301,2.3,-0.096,0.109,12.9
Cormac Ryan,MIL,271.0,21.3,0.355,-0.056,0.244,-0.3,0.3,-0.8,-0.732,0.114,16.9
Nicolas Batum,LAC,1295.0,9.6,-2.807,-0.983,-0.691,-0.292,0.292,-1.0,-2.328,0.066,8.4
Duop Reath,POR,258.0,13.2,-1.058,-0.47,-0.18,-0.29,0.29,-0.9,,0.103,10.6
Daeqwon Plowden,SAC,844.0,16.4,-3.312,-1.131,-0.846,-0.285,0.285,-4.4,-1.724,0.043,10.7
Jamal Murray,DEN,2652.0,27.9,4.599,1.189,1.474,-0.285,0.285,4.1,1.389,0.173,21.8
Norman Powell,MIA,1717.0,27.2,1.801,0.369,0.652,-0.284,0.284,1.6,0.582,0.112,17.5
Tyler Kolek,NYK,727.0,18.4,-0.858,-0.411,-0.129,-0.283,0.283,-0.6,-1.055,0.093,12.5
Chaney Johnson,BRK,348.0,16.2,0.606,0.018,0.297,-0.279,0.279,0.1,-0.915,0.128,16.0
Alperen Şengün,HOU,2398.0,26.6,4.264,1.091,1.363,-0.272,0.272,4.2,1.058,0.161,21.4
