player_name,player_id,bpr_new,bpr_old,box_bpr,bpm
Moses Moody,1630541,0.763,0.034,3.644,-0.1
Ochai Agbaji,1630534,0.761,0.906,-0.564,-2.7
id=200768,200768,0.74,1.021,,
Jeremiah Fears,1642847,0.736,1.142,-3.062,-2.7
id=1642359,1642359,0.73,1.065,,
MarJon Beauchamp,1630699,0.725,0.822,0.155,
Jalen Green,1630224,0.708,0.814,-0.095,-1.1
id=1643133,1643133,0.704,0.87,,
Nae'Qwan Tomlin,1641772,0.701,0.019,3.301,-2.1
id=1631111,1631111,0.692,0.974,,
id=1643047,1643047,0.659,0.786,,
Jalen Pickett,1629618,0.655,0.544,0.63,-2.3
id=1631214,1631214,0.633,0.813,,
id=1642955,1642955,0.617,0.812,,
Tre Jones,1630200,0.609,0.437,0.846,1.3
Mouhamed Gueye,1631243,0.601,0.278,2.861,-1.3
id=1630621,1630621,0.601,0.728,,
id=1641794,1641794,0.594,0.805,,
id=1642490,1642490,0.59,0.758,,
Jerami Grant,203924,0.585,0.195,0.49,0.0
id=1641810,1641810,0.567,0.806,,
id=1627746,1627746,0.556,0.799,,
id=201145,201145,0.536,0.663,,
id=1641813,1641813,0.531,0.734,,
AJ Green,1631260,0.522,0.336,0.991,-3.3
id=1642885,1642885,0.517,0.553,,
id=1631117,1631117,0.505,0.685,,
Dejounte Murray,1627749,0.503,0.433,0.604,1.4
id=1642357,1642357,0.497,0.733,,
Scottie Barnes,1630567,0.475,0.105,3.522,4.2
Anfernee Simons,1629014,0.472,0.379,1.759,0.6
id=1631223,1631223,0.458,0.484,,
id=1642449,1642449,0.458,0.79,,
id=1643257,1643257,0.457,0.506,,
Justin Edwards,1642348,0.443,0.673,-0.886,-1.3
id=1631216,1631216,0.423,0.561,,
id=1631116,1631116,0.415,0.578,,
Luke Kornet,1628436,0.41,-0.309,4.016,3.6
Dalen Terry,1631207,0.409,0.483,0.043,-1.3
id=1630828,1630828,0.393,0.573,,
id=1631211,1631211,0.372,0.493,,
id=1641732,1641732,0.365,0.514,,
Jordan Miller,1641757,0.358,0.018,2.053,0.2
id=1641871,1641871,0.355,0.408,,
id=1643060,1643060,0.337,0.534,,
Tyrese Proctor,1642878,0.326,1.077,-1.275,-2.8
Maxi Kleber,1628467,0.322,-0.508,2.925,-3.9
Kobe Sanders,1642920,0.304,0.435,1.129,-2.9
id=1642384,1642384,0.275,0.33,,
id=1641755,1641755,0.267,0.378,,
id=1630639,1630639,0.259,0.475,,
id=1641726,1641726,0.24,0.34,,
Derik Queen,1642852,0.231,0.508,-2.581,-0.8
id=1631210,1631210,0.226,0.315,,
Aaron Wiggins,1630598,0.213,-0.073,2.975,-0.9
Jock Landale,1629111,0.211,0.405,-0.66,0.1
id=1641752,1641752,0.198,0.328,,
id=203967,203967,0.185,0.264,,
id=1628964,1628964,0.182,0.233,,
id=202066,202066,0.157,0.235,,
id=1643141,1643141,0.143,0.208,,
id=1642876,1642876,0.137,0.256,,
id=1642939,1642939,0.12,0.161,,
id=1642389,1642389,0.11,0.177,,
id=1626192,1626192,0.07,0.088,,
Julian Strawther,1631124,0.062,0.0,-0.106,-2.3
id=1629634,1629634,0.051,0.064,,
Carter Bryant,1642868,0.044,0.178,1.455,-3.0
Dillon Brooks,1628415,0.042,0.211,-0.502,-2.3
id=1643024,1643024,0.037,0.056,,
Gabe Vincent,1629216,0.033,-0.084,1.762,-3.4
Tim Hardaway Jr.,203501,0.015,-0.397,2.507,-0.7
id=1642443,1642443,0.005,-0.006,,
id=1628420,1628420,-0.018,-0.019,,
D'Angelo Russell,1626156,-0.037,-0.006,-0.223,-2.3
id=1641790,1641790,-0.041,0.013,,
id=1641787,1641787,-0.045,-0.067,,
Norman Powell,1626181,-0.05,-0.167,-0.187,1.6
id=1642368,1642368,-0.07,-0.096,,
Jonas Valančiūnas,202685,-0.073,0.275,-0.703,0.0
id=1642959,1642959,-0.073,0.015,,
id=1629610,1629610,-0.078,-0.104,,
id=1642884,1642884,-0.086,-0.16,,
id=1631205,1631205,-0.089,-0.153,,
Jaden Hardy,1630702,-0.092,0.341,-1.761,-5.7
id=1641753,1641753,-0.093,-0.108,,
id=1642935,1642935,-0.096,-0.126,,
Santi Aldama,1630583,-0.097,-0.334,0.701,1.7
id=1628998,1628998,-0.101,-0.139,,
id=1631115,1631115,-0.103,-0.143,,
id=201569,201569,-0.107,-0.123,,
id=1641801,1641801,-0.115,-0.149,,
id=1630322,1630322,-0.124,-0.078,,
Keyonte George,1641718,-0.141,-0.068,-3.578,0.9
Kyle Kuzma,1628398,-0.142,0.069,-0.55,-2.3
id=1642468,1642468,-0.143,-0.2,,
id=1641809,1641809,-0.155,-0.249,,
Ben Sheppard,1641767,-0.157,0.179,-1.397,-3.0
id=1631457,1631457,-0.167,-0.23,,
Dwight Powell,203939,-0.17,-0.087,0.103,-1.4
Scotty Pippen Jr.,1630590,-0.182,0.047,-1.713,-2.8
Malevy Leons,1642502,-0.191,0.113,-3.203,-2.8
id=1642282,1642282,-0.202,-0.273,,
id=1641761,1641761,-0.204,-0.298,,
id=1630649,1630649,-0.213,-0.296,,
id=1641780,1641780,-0.238,-0.349,,
id=1630209,1630209,-0.238,-0.34,,
Jared McCain,1642272,-0.241,-0.69,3.187,-0.9
id=1642950,1642950,-0.272,-0.203,,
Ziaire Williams,1630533,-0.283,-0.183,-1.339,-1.7
id=1630214,1630214,-0.291,-0.314,,
id=1642402,1642402,-0.304,-0.375,,
Buddy Hield,1627741,-0.305,-0.183,-1.54,-1.0
id=1631127,1631127,-0.317,-0.421,,
Cameron Johnson,1629661,-0.321,-1.929,4.814,-0.6
