date,year,month,day,rank,team_name,team_name_normalized,conference,games,record,adj_oe,adj_de,barthag,adj_tempo,wab,efg_pct,efg_pct_d,tor,tord,orb,drb,ftr,ftrd,two_p_pct,two_p_pct_d,three_p_pct,three_p_pct_d,three_pr,three_prd
2026-02-16,2026,2,16,238,Old Dominion,Old Dominion,SB,27.0,9-18,104.5249,110.6215,0.3432238,68.3124,-13.0316,49.6252,50.212,15.476,14.4324,25.9327,30.0151,32.8246,41.031,48.3294,51.7182,34.5143,31.657,37.3232,36.481
2026-02-16,2026,2,16,239,Nicholls St.,Nicholls,Slnd,26.0,11-15,107.3197,113.7274,0.3403239,68.4123,-9.9249,51.318,55.7338,16.8175,21.215,26.9298,35.2334,35.6176,39.6288,51.1204,56.8333,34.3153,35.9283,44.288,37.4112
2026-02-16,2026,2,16,240,Wofford,Wofford,SC,27.0,17-10,110.0142,116.6314,0.339224,67.9146,-6.9174,52.2141,53.6274,13.816,14.8306,30.4189,29.6126,37.0135,35.7198,52.017,52.9229,35.111,36.5318,42.1132,38.0131
2026-02-16,2026,2,16,241,UNC Asheville,UNC Asheville,BSth,26.0,12-14,103.8259,110.0201,0.3384241,65.1296,-10.7266,51.4177,51.016,17.623,15.7252,29.5222,31.3199,39.28,37.6247,49.9247,52.6222,36.258,32.281,33.3312,37.4112
2026-02-16,2026,2,16,242,Long Beach St.,Long Beach St.,BW,26.0,8-18,104.8242,111.2227,0.3372242,67.716,-12.6309,50.2221,54.3295,17.9248,18.0106,26.4313,28.789,30.3306,41.5315,51.9174,54.9298,31.4296,35.5262,35.0274,36.173
2026-02-16,2026,2,16,243,Dartmouth,Dartmouth,Ivy,23.0,10-13,105.4233,111.9247,0.3364243,69.668,-9.324,52.7119,51.72,18.5284,13.8344,24.8344,30.0151,36.5155,29.955,49.526,53.5249,37.527,32.596,48.523,38.7155
2026-02-16,2026,2,16,244,Southern Miss,Southern Miss,SB,28.0,14-14,102.4282,108.7177,0.3348244,68.1135,-10.0251,48.2303,52.4231,18.4277,17.7128,31.615,28.168,42.734,41.2313,50.9212,51.2157,27.8363,36.0293,29.7352,41.7253
2026-02-16,2026,2,16,245,Abilene Christian,Abilene Christian,WAC,25.0,12-13,100.8307,107.1139,0.3344245,66.324,-8.2214,47.3325,55.9344,21.1353,23.63,32.9102,30.5166,38.3102,52.9364,46.3336,54.5285,33.0232,39.3364,32.9318,30.88
2026-02-16,2026,2,16,246,American,American,Pat,27.0,14-13,105.2239,111.7243,0.3333246,67.1191,-9.2238,51.6171,53.7275,16.5158,19.257,26.5309,30.7174,28.0338,44.2339,53.4115,53.7259,33.0232,35.9283,46.438,37.311
2026-02-16,2026,2,16,247,Western Carolina,Western Carolina,SC,25.0,10-15,109.4159,116.4312,0.3287247,68.213,-10.2256,50.0233,55.2328,17.4211,14.6317,34.758,27.652,29.9315,39.428,49.9247,54.9298,33.321,37.1334,40.516,45.534
2026-02-16,2026,2,16,248,Florida Gulf Coast,Florida Gulf Coast,ASun,27.0,12-15,106.3222,113.2268,0.3263248,68.1137,-10.927,52.9107,53.5273,16.8175,16.4206,31.3159,29.6126,30.3306,39.9293,52.4151,53.1238,35.871,35.9283,38.8199,46.5349
2026-02-16,2026,2,16,249,Vermont,Vermont,AE,27.0,17-10,106.821,114.0281,0.3211249,64.9306,-7.9204,53.97,51.318,14.637,14.6317,26.7307,22.41,31.2277,37.0232,56.346,49.9102,34.117,35.5262,44.97,41.8258
2026-02-16,2026,2,16,250,Princeton,Princeton,Ivy,25.0,8-17,104.8243,112.0252,0.317325,63.4348,-12.7312,49.0277,52.4231,16.5158,14.2331,27.5285,28.789,34.4204,33.5129,48.3294,55.3305,33.321,32.071,44.776,40.8227
2026-02-16,2026,2,16,251,SIU Edwardsville,SIUE,OVC,27.0,17-10,99.5327,106.4125,0.3159251,64.3324,-8.0207,49.426,45.49,18.0256,17.016,31.0166,32.4271,33.0241,34.6163,47.2317,44.96,35.871,30.836,35.1271,39.5176
2026-02-16,2026,2,16,252,Iona,Iona,MAAC,27.0,15-12,103.7261,110.9221,0.3157252,69.191,-8.9231,51.816,49.799,16.415,17.016,26.5309,32.3266,28.7331,28.13,50.9212,51.8189,35.396,31.044,45.554,39.5176
2026-02-16,2026,2,16,253,Central Michigan,Central Michigan,MAC,25.0,8-17,106.7214,114.2285,0.3138253,66.8211,-12.4306,51.6171,53.8279,17.7236,16.4206,28.9237,34.4322,30.4301,41.031,52.2161,53.7259,33.6198,35.9283,33.8298,38.6151
